size: 50000, g: 500, threads: 7, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 500
size: 50000, g: 500, threads: 8, timeS: 0.00000, timeP: 0.00052, SpeedUp: 0.00, Eff: 0.00, trueg: 500
size: 50000, g: 500, threads: 9, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 500
size: 50000, g: 500, threads: 10, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 500
size: 50000, g: 500, threads: 11, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 500
size: 50000, g: 500, threads: 12, timeS: 0.00000, timeP: 0.00052, SpeedUp: 0.00, Eff: 0.00, trueg: 500
size: 50000, g: 1000, threads: 1, timeS: 0.00000, timeP: 0.00155, SpeedUp: 0.00, Eff: 0.00, trueg: 1000
size: 50000, g: 1000, threads: 2, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 1000
size: 50000, g: 1000, threads: 3, timeS: 0.00000, timeP: 0.00052, SpeedUp: 0.00, Eff: 0.00, trueg: 1000
size: 50000, g: 1000, threads: 4, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 1000
size: 50000, g: 1000, threads: 5, timeS: 0.00000, timeP: 0.00053, SpeedUp: 0.00, Eff: 0.00, trueg: 1000
size: 50000, g: 1000, threads: 6, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 1000
size: 50000, g: 1000, threads: 7, timeS: 0.00000, timeP: 0.00052, SpeedUp: 0.00, Eff: 0.00, trueg: 1000
size: 50000, g: 1000, threads: 8, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 1000
size: 50000, g: 1000, threads: 9, timeS: 0.00000, timeP: 0.00052, SpeedUp: 0.00, Eff: 0.00, trueg: 1000
size: 50000, g: 1000, threads: 10, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 1000
size: 50000, g: 1000, threads: 11, timeS: 0.00000, timeP: 0.00052, SpeedUp: 0.00, Eff: 0.00, trueg: 1000
size: 50000, g: 1000, threads: 12, timeS: 0.00000, timeP: 0.00052, SpeedUp: 0.00, Eff: 0.00, trueg: 1000
size: 100000, g: 2, threads: 1, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 2
size: 100000, g: 2, threads: 2, timeS: 0.00000, timeP: 0.00000, SpeedUp: NaN, Eff: NaN, trueg: 2
